Year,Evergreen Needleleaf Forests,Evergreen Broadleaf Forests,Deciduous Needleleaf Forests,Deciduous Broadleaf Forests,Mixed Forests,Closed Shrublands,Open Shrublands,Woody Savannas,Savannas,Grasslands,Permanent Wetlands,Croplands,Urban and Built-up Lands,Cropland/Natural Vegetation Mosaics,Permanent Snow and Ice,Barren,Water Bodies,Forests,Shrublands,Savannas
2000,4464900,14659000,1279400,6482500,4356100,3485600,13694000,9320700,6308900,20059000,1706500,14333000,836420,4748400,2515800,22439000,4159000,31241900,17179600,15629600
2001,4461900,14646000,1276000,6366700,4359300,3475200,13734000,9286700,6419300,20053000,1705000,14354000,845610,4754400,2514400,22444000,4153100,31109900,17209200,15706000
2002,4466100,14616000,1277100,6287100,4348100,3497100,13737000,9224900,6489300,20056000,1703400,14423000,863810,4712100,2509700,22475000,4162800,30994400,17234100,15714200
2003,4450400,14560000,1269000,6220500,4323700,3510000,13796000,9156000,6607300,20076000,1703800,14486000,884260,4688200,2510900,22450000,4156200,30823600,17306000,15763300
2004,4446300,14495000,1297800,6191300,4325900,3517000,13822000,8919000,6849300,20097000,1697900,14501000,906370,4693000,2513300,22416000,4160000,30756300,17339000,15768300
2005,4444200,14456000,1321800,6151400,4325600,3496400,13881000,8839600,6946300,20108000,1694000,14509000,920980,4690600,2511300,22392000,4159500,30699000,17377400,15785900
2006,4436600,14397000,1323500,6114600,4322800,3369300,14003000,8850200,7004100,20156000,1692400,14514000,935580,4691400,2511900,22370000,4156100,30594500,17372300,15854300
2007,4446700,14344000,1328500,6100000,4327300,3311600,14064000,8840900,7023400,20193000,1692600,14519000,950810,4698400,2510600,22344000,4153300,30546500,17375600,15864300
2008,4457300,14308000,1340100,6098300,4327800,3265400,14106000,8808700,7025700,20223000,1691900,14530000,965610,4702800,2508300,22336000,4153300,30531500,17371400,15834400
2009,4465500,14285000,1362700,6101700,4334800,3221400,14125000,8772900,7012100,20259000,1689500,14541000,979840,4711700,2508700,22325000,4151300,30549700,17346400,15785000
2010,4468700,14274000,1385300,6094900,4345600,3209600,14117000,8747000,6986400,20306000,1687600,14560000,994490,4701700,2507400,22309000,4154300,30568500,17326600,15733400
2011,4467300,14242000,1376400,6067100,4357800,3239500,14076000,8812900,6984500,20307000,1681300,14558000,1009700,4719300,2497800,22295000,4155900,30510600,17315500,15797400
2012,4472400,14214000,1343800,6030800,4373500,3281000,14066000,8871500,6988000,20248000,1678900,14575000,1027100,4733900,2492000,22294000,4157800,30434500,17347000,15859500
2013,4474800,14193000,1311000,6033800,4395200,3320300,14062000,8897300,6967900,20158000,1682400,14617000,1048600,4744100,2488200,22295000,4159700,30407800,17382300,15865200
2014,4474500,14186000,1272800,6054400,4415200,3358700,14024000,8918400,6930900,20087000,1691700,14647000,1071700,4758300,2485900,22308000,4164800,30402900,17382700,15849300
2015,4464400,14192000,1264500,6086600,4442000,3439800,13951000,8889000,6859900,20045000,1707200,14671000,1089800,4783800,2478400,22315000,4168900,30449500,17390800,15748900
2016,4446800,14174000,1256100,6124400,4455300,3470400,13908000,8922700,6779000,20006000,1731600,14700000,1102300,4819800,2478800,22307000,4165400,30456600,17378400,15701700
2017,4438800,14173000,1251400,6140900,4472500,3470700,13831000,9011800,6658600,20014000,1735100,14722000,1121000,4845900,2501300,22293000,4168000,30476600,17301700,15670400
2018,4405800,14174000,1274100,6131200,4464600,3484300,13856000,9052900,6557500,19955000,1741900,14723000,1140600,4908800,2514500,22289000,4173800,30449700,17340300,15610400
2019,4364800,14151000,1284100,6159400,4456300,3486500,13873000,9132000,6460200,19912000,1736600,14796000,1163200,4889600,2511200,22285000,4187200,30415600,17359500,15592200
2020,4355000,14144000,1271400,6250700,4515400,3452500,13849000,9112500,6367300,19903000,1724700,14819000,1183600,4914900,2501000,22278000,4206500,30536500,17301500,15479800
