Year,Evergreen Needleleaf Forests,Evergreen Broadleaf Forests,Deciduous Needleleaf Forests,Deciduous Broadleaf Forests,Mixed Forests,Closed Shrublands,Open Shrublands,Woody Savannas,Savannas,Grasslands,Permanent Wetlands,Croplands,Urban and Built-up Lands,Cropland/Natural Vegetation Mosaics,Permanent Snow and Ice,Barren,Water Bodies,Forests,Shrublands,Savannas
2000,,,,,,,,,,,,,,,,,,,,
2001,2506305.145,12626749.15,436151.4707,2916323.189,4595157.331,597629.2998,13120711.19,10907147.73,16383239.38,30204200.06,1303171.26,11475786.75,735849.894,1262966.794,2432799.24,20772145.46,2570942.868,23080686.28,13718340.49,27290387.1
2002,2478616.093,12601334.44,433394.0923,2924918.814,4577155.686,600700.7564,13137845.16,10907404.13,16349381.48,30319460.93,1280869.454,11549755.73,737972.1029,1223694.162,2414427.523,20723236.32,2587109.327,23015419.13,13738545.91,27256785.61
2003,2443636.829,12500823.76,431109.0509,2931310.356,4537179.233,607242.9735,13164604.92,10976393.22,16280116.01,30439801.52,1270018.778,11643220.09,740928.1176,1222762.025,2420667.596,20645214,2592247.726,22844059.23,13771847.89,27256509.23
2004,2440021.967,12430627.87,453775.0061,2977974.008,4539514.988,609141.1288,13153977.18,11010104.89,16235561.81,30511586.11,1257257.788,11627233.68,744271.6814,1239766.567,2430782.544,20588619.46,2597059.526,22841913.84,13763118.31,27245666.7
2005,2450759.579,12363907.69,471712.7413,2995797.17,4536490.082,608434.6935,13154212.56,11055155.73,16233761.32,30561274.94,1242869.082,11602679.96,747400.9817,1247820.158,2429965.831,20546733.93,2598299.753,22818667.26,13762647.25,27288917.05
2006,2458442.026,12289413.1,480691.268,2994944.837,4536517.796,602687.9296,13124820.53,11125750.04,16247904.44,30611388.16,1236235.915,11590717.41,750624.7607,1256630.14,2422029.043,20519958.98,2598519.82,22760009.03,13727508.46,27373654.48
2007,2478035.434,12215721.01,485683.6332,3003631.2,4551891.812,593795.1758,13137316.86,11175301.44,16231968.85,30605404.96,1235019.697,11602353.22,753551.7974,1271492.279,2418902.463,20486936.4,2600269.974,22734963.09,13731112.03,27407270.29
2008,2488669.878,12164744.4,493411.9861,3011848.097,4561938.228,583407.6167,13138552.35,11186342.04,16218760.59,30624091.03,1232719.958,11615326.23,756291.7215,1283006.497,2414200.034,20476069.91,2597895.629,22720612.59,13721959.96,27405102.63
2009,2503005.408,12126719.23,505513.8851,3022364.87,4577819.526,578155.9938,13133441.41,11195290.45,16218062.31,30637846.64,1225332.436,11624855.44,759342.3554,1291823.61,2414449.056,20439576.77,2593676.801,22735422.92,13711597.41,27413352.76
2010,2522984.452,12098784.83,518596.4483,3015788.364,4595579.088,581651.5482,13124384.22,11236192.56,16206853.72,30675746.73,1214758.615,11655542.67,762119.192,1284910.028,2402953.218,20360443.13,2589987.378,22751733.18,13706035.77,27443046.28
2011,2533683.702,12079925.11,514702.9861,2998386.531,4613462.375,595324.5684,13098645.47,11304846.75,16206325.34,30696253.87,1205941.013,11622119.89,765037.6112,1283567.218,2402002.383,20335805.16,2591246.211,22740160.71,13693970.04,27511172.09
2012,2536345.84,12057131.65,494313.0464,2953380.628,4633353.195,603563.4907,13102043.98,11366903.72,16230189.63,30671074.89,1203762.634,11622514.71,767728.5191,1285702.14,2405962.831,20322990.98,2590314.312,22674524.36,13705607.47,27597093.35
2013,2530310.048,12035274.81,471887.1461,2952093.976,4664905.591,606168.8062,13113135.6,11380027.17,16246972.74,30585359.33,1213323.149,11669140.31,770499.3167,1304186.04,2410682.312,20302540.22,2590769.63,22654471.57,13719304.41,27626999.91
2014,2525524.597,12019210.96,442539.3108,2957362.048,4694088.269,605312.4586,13100572.91,11395854.76,16243263.9,30528854.51,1238845.721,11695063.88,773466.2786,1325719.047,2413285.089,20295349.75,2592962.716,22638725.18,13705885.36,27639118.66
2015,2504256.526,12020609.39,429076.4182,2966688.508,4729910.814,610164.9046,13105579.64,11387763.68,16171603.88,30538149.18,1275407.752,11708573.44,776233.7203,1352087.632,2409431.088,20269271.51,2592468.126,22650541.66,13715744.54,27559367.55
2016,2480242.233,11999754,418492.4171,2975486.009,4746410.319,616066.6501,13125255.7,11382799.32,16097018.15,30534345.7,1321788.235,11734831.2,778891.6198,1399501.527,2412138.63,20242029.51,2582224.969,22620384.98,13741322.35,27479817.47
2017,2458496.774,12037698.21,414578.0667,2985938.869,4766707.767,604941.2869,13104167.48,11248269.46,16231529.37,30514006.96,1326415.414,11692127.19,783719.4677,1409683.105,2463160.444,20226613.63,2579222.706,22663419.69,13709108.77,27479798.83
2018,2423065.063,12064119.76,426616.3117,2925066.264,4740240.112,610024.0501,13220445.29,11237080.7,16218856.91,30483491.48,1334068.609,11631807.36,788392.9443,1430137.67,2486071.14,20251032.46,2576760.07,22579107.52,13830469.34,27455937.61
2019,2395459.803,12022189.78,430985.5291,2895811.168,4707468.808,583490.3036,13266535.33,11350226.4,16182134.34,30544804.66,1322264.023,11697103.85,793097.4231,1407418.81,2467839.973,20205054.7,2575391.311,22451915.09,13850025.63,27532360.74
2020,2383986.039,12003030.48,411735.6327,2894389.714,4776126.311,542358.2999,13290137.82,11397935.16,16167545.07,30590112.88,1313298.771,11675833.69,797153.7008,1413092.435,2445975.966,20163436.79,2581127.442,22469268.18,13832496.12,27565480.23
